position,quote,credit,url,width
6000,"“To me, it underscores our responsibility to deal more kindly with one another, and to preserve and cherish the pale blue dot, the only home we’ve ever known.”","— Carl Sagan, Pale Blue Dot (1994)",https://www.planetary.org/worlds/pale-blue-dot?utm_source=chatgpt.com,475
600,"“We came all this way to explore the Moon, and the most important thing is that we discovered the Earth.”","— William Anders, Apollo 8 (1968)",https://www.brainyquote.com/quotes/william_anders_751620?utm_source=chatgpt.com,420
3,"“Once a photograph of the Earth, taken from the outside, is available, a new idea as powerful as any in history will be let loose.”",— Fred Hoyle (1948),https://en.wikipedia.org/wiki/Overview_effect?utm_source=chatgpt.com,450
750,"“Orbiting Earth… I saw how beautiful our planet is. People, let us preserve and increase this beauty, not destroy it!",— Yuri Gagarin (1961),https://www.goodreads.com/author/quotes/690500.Yuri_Gagarin?utm_source=chatgpt.com,400
,“You see the Earth as a bright blue-and-white Christmas-tree ornament in the black sky… so small and so fragile.”,— Rusty Schweickart (1969),https://www.azquotes.com/author/32929-Rusty_Schweickart?utm_source=chatgpt.com,
,"“We were not the same after seeing Earth from the Moon… our planet was an egg, fragile and alone.”",— Frank Borman (1968),https://mindtraining.net/motivational-quotes/astronauts-space.php?utm_source=chatgpt.com,
,"“When you look at the Earth from space, you realize that our planet is a beautiful, interconnected system. We are all in this together.”",— Mae Jemison (1992),https://www.earthscapevr.com/10-astronaut-quotes-on-the-overview-effect?utm_source=chatgpt.com,
,"“From space, I saw Earth not as a collection of nations, but as a single entity with one destiny.”",— Ron Garan (2011),https://www.earthscapevr.com/10-astronaut-quotes-on-the-overview-effect?utm_source=chatgpt.com,
,"“Seen from space, Earth is a precious, fragile ball of life… we must protect and preserve it.”",— Edgar Mitchell (1971),https://www.earthscapevr.com/10-astronaut-quotes-on-the-overview-effect?utm_source=chatgpt.com,
,There are no passengers on Spaceship Earth. We are all crew.”,— Marshall McLuhan (1965),https://www.brainyquote.com/quotes/marshall_mcluhan_100969?utm_source=chatgpt.com,
,“We are not going to operate our Spaceship Earth successfully unless we see it as a whole spaceship and our fate as common.”,— Buckminster Fuller (1969),https://www.brainyquote.com/quotes/r_buckminster_fuller_153429?utm_source=chatgpt.com,
10300,“The exploration and use of outer space shall be carried out for the benefit and in the interests of all countries and [shall be] the province of all mankind.”,— U.N. Outer Space Treaty (1967),https://www.unoosa.org/oosa/en/ourwork/spacelaw/treaties/introouterspacetreaty.html?utm_source=chatgpt.com,550
,"“Like a grand and miraculous spaceship, our planet has sailed through the universe of time, and… we have the responsibility to build new bridges of co-operation.”",— Epcot Spaceship Earth narration (1982),https://en.wikipedia.org/wiki/Spaceship_Earth?utm_source=chatgpt.com,
,"“From space, you see the fragility of our planet and the urgent need to protect it. We are all astronauts on this spaceship Earth.""",— Jean-François Clervoy (1999),https://www.earthscapevr.com/10-astronaut-quotes-on-the-overview-effect?utm_source=chatgpt.com,
4000,"“It’s a precious, beautiful planet that looks so peaceful from this vantage point; let’s keep it that way.”",— Nicole Stott (2009),https://www.earthscapevr.com/10-astronaut-quotes-on-the-overview-effect?utm_source=chatgpt.com,400
20000,“We are made of star-stuff; we are a way for the universe to know itself.”,"— Carl Sagan, Cosmos (1980)",https://quoteinvestigator.com/2013/06/22/starstuff/?utm_source=chatgpt.com,375
20600,“Two possibilities exist: either we are alone in the Universe or we are not. Both are equally terrifying.”,— Arthur C. Clarke (1996),https://quoteinvestigator.com/2020/10/22/alone/?utm_source=chatgpt.com,400
,"“We are the cosmos made conscious, and life is the means by which the universe understands itself.”",— Brian Cox (2011),https://www.goodreads.com/quotes/458513-we-are-the-cosmos-made-conscious-and-life-is-the?utm_source=chatgpt.com,450
37000,"“For small creatures such as we, the vastness is bearable only through love.”","— Ann Druyan, Contact (1985)",https://sheseeksnonfiction.blog/2021/06/27/for-small-creatures-such-as-we-review/?utm_source=chatgpt.com,425
,“We are an impossibility in an impossible universe.”,— Ray Bradbury (1975),https://quoteinvestigator.com/2016/06/06/impossibility/?utm_source=chatgpt.com,
30000,“The eternal silence of these infinite spaces terrifies me.”,"— Blaise Pascal, Pensées (1670)",https://www.goodreads.com/quotes/441608-the-eternal-silence-of-these-infinite-spaces-terrifies-me?utm_source=chatgpt.com,600
17000,“The Universe is under no obligation to make sense to you.”,"— Neil deGrasse Tyson, Astrophysics for People in a Hurry (2017)",https://www.brainyquote.com/quotes/neil_degrasse_tyson_800277?utm_source=chatgpt.com,625
,“Astronomy is a humbling and character-building experience… a distant image of our tiny world shows the folly of human conceits.”,"— Carl Sagan, Pale Blue Dot (1994)",https://www.planetary.org/worlds/pale-blue-dot?utm_source=chatgpt.com,
,"“The universe is a pretty big place. If it’s just us, seems like an awful waste of space.”","— Carl Sagan, Contact (1985)",https://www.goodreads.com/quotes/282727-the-universe-is-a-pretty-big-place-if-it-s-just?utm_source=chatgpt.com,
10450,"“Outer space [shall not be] considered a global commons.""",— American Space Commerce Free Enterprise Act (2017),https://www.congress.gov/bill/115th-congress/house-bill/2809/text?utm_source=chatgpt.com,
